"Date","Open","High","Low","Close","Volume"
"Aug 24, 2023","5,625.00","5,625.00","5,550.00","5,550.00","74,407,500"
"Aug 23, 2023","5,600.00","5,625.00","5,575.00","5,600.00","78,686,900"
"Aug 22, 2023","5,500.00","5,625.00","5,500.00","5,575.00","101,221,500"
"Aug 21, 2023","5,550.00","5,575.00","5,500.00","5,500.00","91,640,000"
"Aug 18, 2023","5,500.00","5,600.00","5,500.00","5,575.00","121,561,200"
"Aug 16, 2023","5,550.00","5,575.00","5,450.00","5,525.00","188,191,900"
"Aug 15, 2023","5,650.00","5,675.00","5,575.00","5,575.00","89,597,300"
"Aug 14, 2023","5,650.00","5,675.00","5,575.00","5,650.00","127,358,400"
"Aug 11, 2023","5,675.00","5,700.00","5,650.00","5,650.00","74,321,000"
"Aug 10, 2023","5,675.00","5,725.00","5,675.00","5,700.00","85,474,200"
"Aug 9, 2023","5,650.00","5,725.00","5,625.00","5,700.00","91,930,000"
"Aug 8, 2023","5,700.00","5,750.00","5,600.00","5,625.00","89,189,600"
"Aug 7, 2023","5,600.00","5,725.00","5,575.00","5,700.00","88,104,900"
"Aug 4, 2023","5,700.00","5,725.00","5,575.00","5,575.00","150,738,500"
"Aug 3, 2023","5,675.00","5,750.00","5,650.00","5,700.00","82,775,000"
"Aug 2, 2023","5,650.00","5,725.00","5,650.00","5,700.00","90,611,300"
"Aug 1, 2023","5,650.00","5,750.00","5,650.00","5,700.00","100,137,500"
"Jul 31, 2023","5,700.00","5,700.00","5,650.00","5,650.00","186,727,400"
"Jul 28, 2023","5,625.00","5,700.00","5,625.00","5,700.00","74,036,700"
"Jul 27, 2023","5,675.00","5,750.00","5,650.00","5,650.00","109,859,200"
"Jul 26, 2023","5,700.00","5,700.00","5,650.00","5,675.00","76,200,300"
"Jul 25, 2023","5,625.00","5,700.00","5,625.00","5,650.00","111,248,100"
"Jul 24, 2023","5,600.00","5,650.00","5,600.00","5,600.00","62,962,500"
"Jul 21, 2023","5,600.00","5,625.00","5,575.00","5,625.00","63,094,600"
"Jul 20, 2023","5,575.00","5,650.00","5,550.00","5,625.00","111,117,300"
"Jul 18, 2023","5,625.00","5,700.00","5,600.00","5,625.00","120,810,300"
"Jul 17, 2023","5,550.00","5,625.00","5,525.00","5,575.00","166,951,300"
"Jul 14, 2023","5,450.00","5,525.00","5,425.00","5,525.00","127,814,200"
"Jul 13, 2023","5,425.00","5,475.00","5,425.00","5,450.00","134,905,700"
